"filename", "language", "HTML", "XML", "Markdown", "CSS", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"e:\hddocs\TCD2020-website\404.html", "HTML", 329, 0, 0, 0, 0, 0, 0, 10, 67, 406
"e:\hddocs\TCD2020-website\BingSiteAuth.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\hddocs\TCD2020-website\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\hddocs\TCD2020-website\css\404.css", "CSS", 0, 0, 0, 255, 0, 0, 0, 4, 40, 299
"e:\hddocs\TCD2020-website\css\index.css", "CSS", 0, 0, 0, 366, 0, 0, 0, 49, 88, 503
"e:\hddocs\TCD2020-website\css\index.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\hddocs\TCD2020-website\css\nav.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\hddocs\TCD2020-website\css\particle.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 3, 1, 12
"e:\hddocs\TCD2020-website\css\sponsors.css", "CSS", 0, 0, 0, 90, 0, 0, 0, 12, 24, 126
"e:\hddocs\TCD2020-website\css\style-index.css", "CSS", 0, 0, 0, 73, 0, 0, 0, 2, 10, 85
"e:\hddocs\TCD2020-website\css\style-index.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 1, 6, 44
"e:\hddocs\TCD2020-website\images\favicon_io\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\hddocs\TCD2020-website\images\index.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\hddocs\TCD2020-website\images\sponsors-company\snappymob.svg", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"e:\hddocs\TCD2020-website\index.html", "HTML", 323, 0, 0, 0, 0, 0, 0, 308, 61, 692
"e:\hddocs\TCD2020-website\js\index.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\hddocs\TCD2020-website\js\particle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\hddocs\TCD2020-website\nav-non-sticky-non-home.html", "HTML", 69, 0, 0, 0, 0, 0, 0, 4, 12, 85
"e:\hddocs\TCD2020-website\nav-sticky-non-home.html", "HTML", 83, 0, 0, 0, 0, 0, 0, 4, 12, 99
"e:\hddocs\TCD2020-website\nav-sticky.html", "HTML", 83, 0, 0, 0, 0, 0, 0, 4, 12, 99
"e:\hddocs\TCD2020-website\navbar-index.html", "HTML", 82, 0, 0, 0, 0, 0, 0, 19, 13, 114
"e:\hddocs\TCD2020-website\opportunity-board.html", "HTML", 53, 0, 0, 0, 0, 0, 0, 9, 15, 77
"e:\hddocs\TCD2020-website\page-status.html", "HTML", 52, 0, 0, 0, 0, 0, 0, 8, 11, 71
"e:\hddocs\TCD2020-website\resume\index.html", "HTML", 37, 0, 0, 0, 0, 0, 0, 3, 6, 46
"e:\hddocs\TCD2020-website\resume\login.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\hddocs\TCD2020-website\sitemap.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 1, 0, 7
"e:\hddocs\TCD2020-website\sponsors&partners.html", "HTML", 505, 0, 0, 0, 0, 0, 0, 76, 57, 638
"e:\hddocs\TCD2020-website\test-domain.html", "HTML", 36, 0, 0, 0, 0, 0, 0, 4, 6, 46
"e:\hddocs\TCD2020-website\test\test.html", "HTML", 67, 0, 0, 0, 0, 0, 0, 3, 5, 75
"Total", "-", 1749, 28, 2, 795, 1, 37, 1, 524, 451, 3588